exp_trial_type,trial_type,trial_choice_set,difficulty_level,stim_1_psy,stim_2_psy,stim_3_psy,target_psy,competitor_psy,decoy_psy,target_side,competitor_side,correct_psy,tc_correct,correct_dist_to_mean,side_correct,stim_1,stim_2,stim_3,correct,target_phys,competitor_phys,decoy_phys
transfer,attraction,trinary,difficult,10.25,13.25,15.25,13.25,10.25,15.25,right,left,10.25,competitor,1,left,247.3327205246186,286.31854059731165,315.6661910085361,247.3327205246186,286.31854059731165,247.3327205246186,315.6661910085361
transfer,attraction,trinary,easy,10.25,14.25,8.25,10.25,14.25,8.25,left,right,10.25,target,1,left,247.3327205246186,300.63446762717723,224.33806850305538,247.3327205246186,247.3327205246186,300.63446762717723,224.33806850305538
transfer,attraction,trinary,easy,10.25,14.25,16.25,14.25,10.25,16.25,right,left,10.25,competitor,1,left,247.3327205246186,300.63446762717723,331.44950055896294,247.3327205246186,300.63446762717723,247.3327205246186,331.44950055896294
transfer,attraction,trinary,easy,12.25,8.25,14.25,12.25,8.25,14.25,right,left,12.25,target,1,right,272.68432437839203,224.33806850305538,300.63446762717723,272.68432437839203,272.68432437839203,224.33806850305538,300.63446762717723
transfer,attraction,trinary,easy,12.25,8.25,6.25,8.25,12.25,6.25,left,right,12.25,competitor,1,right,272.68432437839203,224.33806850305538,203.4812412726126,272.68432437839203,224.33806850305538,272.68432437839203,203.4812412726126
transfer,attraction,trinary,difficult,12.25,9.25,14.25,12.25,9.25,14.25,right,left,12.25,target,1,right,272.68432437839203,235.55497192820818,300.63446762717723,272.68432437839203,272.68432437839203,235.55497192820818,300.63446762717723
transfer,attraction,trinary,difficult,12.25,9.25,7.25,9.25,12.25,7.25,left,right,12.25,competitor,1,right,272.68432437839203,235.55497192820818,213.65530333624324,272.68432437839203,235.55497192820818,272.68432437839203,213.65530333624324
transfer,attraction,binary,equal_chance_2_JND,9.25,13.25,0,9.25,13.25,NA,left,right,NA,both,2,equal,235.55497192820818,286.31854059731165,0,NA,235.55497192820818,286.31854059731165,NA
transfer,attraction,binary,equal_chance_2_JND,9.25,13.25,0,13.25,9.25,NA,right,left,NA,both,2,equal,235.55497192820818,286.31854059731165,0,NA,286.31854059731165,235.55497192820818,NA
transfer,attraction,binary,equal_chance_1_JND,10.25,12.25,0,10.25,12.25,NA,left,right,NA,both,1,equal,247.3327205246186,272.68432437839203,0,NA,247.3327205246186,272.68432437839203,NA
transfer,attraction,binary,equal_chance_1_JND,10.25,12.25,0,12.25,10.25,NA,right,left,NA,both,1,equal,247.3327205246186,272.68432437839203,0,NA,272.68432437839203,247.3327205246186,NA
transfer,attraction,binary,difficult,10.25,13.25,0,10.25,13.25,NA,left,right,10.25,target,1,left,247.3327205246186,286.31854059731165,0,247.3327205246186,247.3327205246186,286.31854059731165,NA
transfer,attraction,binary,difficult,10.25,13.25,0,13.25,10.25,NA,right,left,10.25,competitor,1,left,247.3327205246186,286.31854059731165,0,247.3327205246186,286.31854059731165,247.3327205246186,NA
transfer,attraction,binary,easy,10.25,14.25,0,10.25,14.25,NA,left,right,10.25,target,1,left,247.3327205246186,300.63446762717723,0,247.3327205246186,247.3327205246186,300.63446762717723,NA
transfer,attraction,binary,easy,10.25,14.25,0,14.25,10.25,NA,right,left,10.25,competitor,1,left,247.3327205246186,300.63446762717723,0,247.3327205246186,300.63446762717723,247.3327205246186,NA
transfer,attraction,binary,easy,12.25,8.25,0,12.25,8.25,NA,right,left,12.25,target,1,right,272.68432437839203,224.33806850305538,0,272.68432437839203,272.68432437839203,224.33806850305538,NA
transfer,attraction,binary,easy,12.25,8.25,0,8.25,12.25,NA,left,right,12.25,competitor,1,right,272.68432437839203,224.33806850305538,0,272.68432437839203,224.33806850305538,272.68432437839203,NA
transfer,attraction,binary,difficult,12.25,9.25,0,12.25,9.25,NA,right,left,12.25,target,1,right,272.68432437839203,235.55497192820818,0,272.68432437839203,272.68432437839203,235.55497192820818,NA
transfer,attraction,binary,difficult,12.25,9.25,0,9.25,12.25,NA,left,right,12.25,competitor,1,right,272.68432437839203,235.55497192820818,0,272.68432437839203,235.55497192820818,272.68432437839203,NA
transfer,attraction,trinary,equal_chance_2_JND,9.25,13.25,7.25,9.25,13.25,7.25,left,right,NA,both,2,equal,235.55497192820818,286.31854059731165,213.65530333624324,NA,235.55497192820818,286.31854059731165,213.65530333624324
transfer,attraction,trinary,equal_chance_2_JND,9.25,13.25,15.25,13.25,9.25,15.25,right,left,NA,both,2,equal,235.55497192820818,286.31854059731165,315.6661910085361,NA,286.31854059731165,235.55497192820818,315.6661910085361
